field	description	notes	collected1970to1984	collected1984to2004	collected2004to2009	collected2010toPresent
CAUSE_COAT_FAIL	Cause of coating failure	See also CAUSE_COAT_FAIL_OTHER	1	0	0	0
CAUSE_COAT_FAIL_OTHER	Text description for when CAUSE_COAT_FAIL is Other		1	0	0	0
INT_VISUAL_EXAM_RESULTS	For internal corrosion: Results of visual examination	See also INT_VISUAL_EXAM_DETAILS	1	1	1	1
INT_VISUAL_EXAM_DETAILS	Text description for when INT_VISUAL_EXAM_RESULTS is Other		0	0	0	1
VIS_EXAM_TEXT	Visual Examination of corrosion	See also VIS_EXAMO. Equivalent to VISUAL_EXAM_RESULTS and INT_VISUAL_EXAM_RESULTS combined	1	1	1	1
VIS_EXAMO	Text description for when VIS_EXAM_TEXT is Other	Equivalent to VISUAL_EXAM_DETAILS and INT_VISUAL_EXAM_DETAILS combined	0	1	1	1
INT_CORROSIVE_COMMODITY_IND	For internal corrosion: Cause of corrosion: Corrosive Commodity		0	0	0	1
INT_WATER_ACID_IND	For internal corrosion: Cause of corrosion: Water drop-out/Acid		0	0	0	1
INT_MICROBIOLOGICAL_IND	For internal corrosion: Cause of corrosion: Microbiological	Prior to 2010, may also refer to external corrosion	1	0	1	1
INT_EROSION_IND	For internal corrosion: Cause of corrosion: Erosion		0	0	0	1
INT_OTHER_CORROSION_IND	For internal corrosion: Cause of corrosion: Other	See also INT_CORROSION_TYPE_DETAILS. Prior to 2010, may also refer to external corrosion	1	1	1	1
INT_CORROSION_TYPE_DETAILS	Text description for INT_OTHER_CORROSION_IND		1	1	1	1
INT_FIELD_EXAM_BASIS_IND	For internal corrosion: Selected types(s) of corrosion based on field examination?		0	0	0	1
INT_METALLURGICAL_BASIS_IND	For internal corrosion: Selected types(s) of corrosion determined by metallurgical analysis?		0	0	0	1
INT_OTHER_BASIS_IND	For internal corrosion: Selected types(s) of corrosion based on Other	See also INT_CORROSION_BASIS_DETAILS	0	0	0	1
INT_CORROSION_BASIS_DETAILS	Text description for INT_OTHER_BASIS_IND		0	0	0	1
INT_LOW_POINT_PIPE_LOC_IND	Internal corrosion: Location of corrosion: Low point in pipe		0	0	0	1
INT_ELBOW_LOC_IND	Internal corrosion: Location of corrosion: Elbow		0	0	0	1
INT_DROP_OUT_LOC_IND	Internal corrosion: Location of corrosion: Drop-out		0	0	0	1
INT_OTHER_LOC_IND	Internal corrosion: Location of corrosion: Other	See also CORROSION_LOCATION_DETAILS	0	0	0	1
CORROSION_LOCATION_DETAILS	Text description for INT_OTHER_LOC_IND		0	0	0	1
CORROSION_INHIBITORS	Was the gas/fluid treated with corrosion inhibitors or biocides?		0	0	0	1
LIQUID_FOUND	Were any liquids found in the distribution system where the Incident occurred?		0	0	0	1
COR_HYDROTEST_LEAK_SURVEY_DATE	For corrosion failure: Date of the most recent Leak Survey conducted:		0	0	0	1
COR_HYDROTEST_CONDUCTED_IND	For corrosion failure: Has one or more pressure test been conducted since original construction at the point of the Incident?		0	0	0	1
COR_HYDROTEST_CONDUCTED_YEAR	For corrosion failure: Most recent year of pressure test conducted since original construction at the point of the Incident		0	0	0	1
COR_HYDROTEST_PRESSURE	For corrosion failure: Test pressure (psig) of pressure test conducted since original construction at the point of the Incident		0	0	0	1
NATURAL_FORCE_TYPE	Natural force damage type	See also NF_OTHER_DETAILS	0	0	0	1
NF_EARTH_MOVEMENT	Damage by earth movement		1	1	1	1
EARTH_SUBTYPE	Earth Movement, NOT due to Heavy Rains/Floods: Specify: Earthquake, Subsidence, Landslide, or Other	See also NF_OTHER_DETAILS	0	0	1	1
HEAVY_RAINS_SUBTYPE	Heavy Rains/Floods: Specify: Washouts/Scouring, Flotation, Mudslide, or Other	See also NF_OTHER_DETAILS	0	0	1	1
LIGHTNING_SUBTYPE	Lightning: Specify: Direct hit or Secondary impact such as resulting nearby fires		0	0	0	1
TEMPERATURE_SUBTYPE	Temperature: Specify: Thermal Stress, Frost Heave, Frozen Components, or Other	See also NF_OTHER_DETAILS	0	0	1	1
NF_OTHER_DETAILS	Describe other natural force damage		0	0	1	1
NF_EXTREME_WEATHER_IND	Were the natural forces causing the Incident generated in conjunction with an extreme weather event?		0	0	0	1
NF_HURRICANE_IND	Natural forces causing the Incident were generated in conjunction with a Hurricane		0	0	0	1
NF_TROPICAL_STORM_IND	Natural forces causing the Incident were generated in conjunction with a Tropical Storm		0	0	0	1
NF_TORNADO_IND	Natural forces causing the Incident were generated in conjunction with a Tornado		0	0	0	1
NF_OTHER_IND	Natural forces causing the Incident were generated in conjunction with another extreme weather event	See also NF_EXTREME_WEATHER_DETAILS	0	0	0	1
NF_EXTREME_WEATHER_DETAILS	Text description for NF_OTHER_IND		0	0	0	1
EX_PARTY_TYPE	Excavation damage party type		0	0	1	1
THIRD_PARTY_GRP_TEXT	Third Party Excavation Damage: Excavator group		0	0	1	0
THIRD_PARTY_TYPE_TEXT	Third Party Excavation Damage: Type	See also THIRD_PARTY_TYPEO	0	0	1	0
THIRD_PARTY_TYPEO	Text description for when THIRD_PARTY_TYPE_TEXT is Other		0	0	1	0
NOTIF_DATE	Third Party Excavation Damage: Date operator received prior notification of excavation activity		1	1	1	0
NOTIFICATION_HOUR	Time of notification, associated with NOTIF_DATE (previously named NOTIFICATION_DATE		1	0	0	0
EX_HYDROTEST_LEAK_SURVEY_DATE	For excavation damage: Date of the most recent Leak Survey conducted		0	0	0	1
EX_HYDROTEST_CONDUCTED_IND	For excavation damage: Has one or more pressure test been conducted since original construction at the point of the Incident?		0	0	0	1
EX_HYDROTEST_CONDUCTED_YEAR	For excavation damage: Most recent year tested if one or more pressure test conducted since original construction		0	0	0	1
EX_HYDROTEST_PRESSURE	For excavation damage: Test pressure (psig) for pressure test conducted since original construction		0	0	0	1
PRIOR_NOTIFICATION_IND	Did the operator get prior notification of the excavation activity?		1	1	1	1
ONE_CALL_SYSTEM_IND	Operator got prior notice of excavation activity from One-Call System		0	0	1	1
EXCAVATOR_IND	Operator got prior notice of excavation activity from Excavator		0	0	1	1
CONTRACTOR_IND	Operator got prior notice of excavation activity from Contractor		0	0	1	1
LANDOWNER_IND	Operator got prior notice of excavation activity from Landowner		0	0	1	1
STATE_LAW_EXEMPT_IND	Per the primary Incident Investigator report, did State law exempt the excavator from notifying the one-call center?		0	0	0	1
STATE_LAW_EXEMPT_TYPE	Type of exemption if State law exempted the excavator from notifying the one-call center	See also STATE_LAW_EXEMPT_DETAIL	0	0	0	1
STATE_LAW_EXEMPT_DETAIL	Text description for if State law exemption type is Other		0	0	0	1
STATE_LAW_EXEMPT_AUTHORITY	Exempting Authority if State law exempted the excavator from notifying the one-call center		0	0	0	1
STATE_LAW_EXEMPT_CRITERIA	Exempting Criteria if State law exempted the excavator from notifying the one-call center		0	0	0	1
NOTIFY_CGA_DIRT	Do you want PHMSA to upload the following information to CGA-DIRT (www.cga-dirt.com)?		0	0	0	1
PUBLIC_ROW_IND	Public right-of-way where event occured		0	0	0	1
PUBLIC_SUBTYPE	Subtype of public right-of-way where event occured		0	0	0	1
PRIVATE_ROW_IND	Private right-of-way where event occured		0	0	0	1
PRIVATE_SUBTYPE	Subtype of private right-of-way where event occured		0	0	0	1
PIPELINE_EASEMENT_ROW_IND	Pipeline Property/Easement right-of-way where event occured		0	0	0	1
POWER_TRANSMISSION_ROW_IND	Power/Transmission Line right-of-way where event occured		0	0	0	1
RAILROAD_ROW_IND	Railroad right-of-way where event occured		0	0	0	1
PUBLIC_UTIL_EASEMENT_ROW_IND	Dedicated Public Utility Easement right-of-way where event occured		0	0	0	1
FEDERAL_LAND_ROW_IND	Federal Land right-of-way where event occured		0	0	0	1
UNKNOWN_ROW_IND	Unknown/Other right-of-way where event occured		0	0	0	1
JOINT_TRENCH_IND	Was the facility part of a Join Trench?		0	0	0	1
CROSS_BORE_IND	Did this event involve a Cross Bore?		0	0	0	1
DEPTH_OF_GRADE	Measured Depth from Grade	See also DEPTH_OF_GRADE_DETAIL	0	0	0	1
DEPTH_OF_GRADE_DETAIL	Measured depth From Grade in inches		0	0	0	1
EXCAVATOR_TYPE	Type of excavator		0	0	0	1
EXCAVATOR_EQUIPMENT	Type of excavation equipment		0	0	0	1
WORK_PERFORMED	Type of work performed		0	0	0	1
ONE_CALL_NOTIFIED_IND	Was the One-Call Center notified?		0	0	0	1
ONE_CALL_TICKET_NUM	Ticket number if One-Call Center was notified		0	0	0	1
ONE_CALL_CENTER_NAME	If this is a State where more than a single One-Call Center exists, list the name of the One-Call Center notified		0	0	0	1
WHITE_LINED_IND	Was work area white lined?		0	0	0	1
LOCATOR_TYPE	Type of Locator: Facility Owner, Contractor Locator, or Unknown/Other		0	0	0	1
VISIBLE_MARKS	Were facility locate marks visible in the area of excavation?		1	1	1	1
ACC_MARK_TEXT	Were pipeline markings accurate or not?		0	0	1	0
MKD_IN_TIME	Were pipeline marks made within required time?		0	0	1	0
TYPE_MARKING	If pipe is marked, type of marking	Different options depending on data source. See also TYPE_MARKING_OTHER	1	1	1	0
TYPE_MARKING_OTHER	Text description for when TYPE_MARKING is Other		1	1	0	0
STAT	Does a statute or ordinance require the outside party to determine whether underground facility(ies) exist? 		1	1	0	0
SERVICE_INTERRUPTION	Did the damage cause an interruption in service?		0	0	0	1
SERVICE_INTERRUPTION_HOURS	Duration of service interruption (hours)		0	0	0	1
ROOT_CAUSE_CATEGORY	Predominant CGA-DIRT Root Cause	See also ROOT_CAUSE_TYPE and ROOT_CAUSE_TYPE_OTHER	0	0	0	1
ROOT_CAUSE_TYPE	Description of predominant CGA-DIRT Root Cause		0	0	0	1
ROOT_CAUSE_TYPE_OTHER	Description of predominant CGA-DIRT Root Cause not listed		0	0	0	1
OUTSIDE_FORCE_TYPE	Other Outside Force Damage Type	See also OSF_OTHER_DETAILS	0	0	0	1
VEHICLE_SUBTYPE	Vehicle/Equipment operated by: Operator, Operator’s Contractor, or Third Party		0	0	0	1
OSF_HURRICANE_IND	Hurricane was a factor in Damage by Boats, Barges, Drilling Rigs, or Other Maritime Equipment or Vessels Set Adrift or Which Have Otherwise Lost Their Mooring		0	0	0	1
OSF_TROPICAL_STORM_IND	Tropical Storm was a factor in Damage by Boats, Barges, Drilling Rigs, or Other Maritime Equipment or Vessels Set Adrift or Which Have Otherwise Lost Their Mooring		0	0	0	1
OSF_TORNADO_IND	Tornado was a factor in Damage by Boats, Barges, Drilling Rigs, or Other Maritime Equipment or Vessels Set Adrift or Which Have Otherwise Lost Their Mooring		0	0	0	1
OSF_HEAVY_RAINS_IND	Heavy Rains/Flood was a factor in Damage by Boats, Barges, Drilling Rigs, or Other Maritime Equipment or Vessels Set Adrift or Which Have Otherwise Lost Their Mooring		0	0	0	1
OSF_OTHER_WEATHER_IND	Other extreme weather event was a factor in Damage by Boats, Barges, Drilling Rigs, or Other Maritime Equipment or Vessels Set Adrift or Which Have Otherwise Lost Their Mooring	See also OSF_OTHER_WEATHER_DETAILS	0	0	0	1
OSF_OTHER_WEATHER_DETAILS	Text description for OSF_OTHER_WEATHER_IND		0	0	0	1
OSF_HYDROTEST_LEAK_SURVEY_DATE	For other outside force damage: Date of the most recent Leak Survey conducted		0	0	0	1
OSF_HYDROTEST_CONDUCTED_IND	For other outside force damage: Has one or more pressure test been conducted since original construction at the point of the Incident?		0	0	0	1
OSF_HYDROTEST_CONDUCTED_YEAR	For other outside force damage: Most recent year tested if one or more pressure test has been conducted since original construction		0	0	0	1
OSF_HYDROTEST_PRESSURE	For other outside force damage: Test pressure (psig) of pressure test conducted since original construction		0	0	0	1
INTENTIONAL_SUBTYPE	Intentional damage subtype: Vandalism, Terrorism, Theft of transported commodity, Theft of equipment, or Other	See also INTENTIONAL_DETAILS	0	0	0	1
INTENTIONAL_DETAILS	Text description for other subtype of intentional damage		0	0	0	1
OSF_OTHER_DETAILS	Text description for when OUTSIDE_FORCE_TYPE is Other		0	0	0	1
FIRE_EXPLO_TEXT	Fire/Explosion as primary cause of failure: Fire/Explosion cause		0	0	1	0
DRIVER_ISSUED_CITATION_IND	Was the driver of the vehicle or equipment issued one or more citations related to the incident?		0	0	0	1
CITATION_SPEED_IND	Nature of citation: Excessive Speed		0	0	0	1
CITATION_RECKLESS_IND	Nature of citation: Reckless Driving		0	0	0	1
CITATION_DUI_IND	Nature of citation: Driving Under the Influence		0	0	0	1
CITATION_OTHER_IND	Nature of citation: Other	See also CITATION_OTHER_DETAIL	0	0	0	1
CITATION_OTHER_DETAIL	Text description for CITATION_OTHER_IND		0	0	0	1
DRIVER_IN_CONTROL_IND	Was the driver under control of the vehicle at the time of the collision?		0	0	0	1
ESTIMATED_SPEED	Estimated speed of the vehicle at the time of impact (miles per hour)?		0	0	0	1
VEHICLE_TYPE	Type of vehicle?		0	0	0	1
VEHICLE_TRAVEL_FROM	Where did the vehicle travel from to hit the pipeline facility?		0	0	0	1
VEHICLE_TRAVEL_DISTANCE_FT	Shortest distance from VEHICLE_TRAVEL_FROM to the damaged pipeline facility (in feet)		0	0	0	1
PROTECTIONS_INSTALLED_IND	At the time of the incident, were protections installed to protect the damaged pipeline facility from vehicular damage?		0	0	0	1
PROTECTION_BOLLARDS_POST_IND	Type of protection: Bollards/Guard Posts		0	0	0	1
PROTECTION_BARRICADES_IND	Type of Protection: Barricades, including “jersey” barriers and fences		0	0	0	1
PROTECTION_GUARD_RAILS_IND	Type of Protection: Guard Rails		0	0	0	1
PROTECTION_METER_BOX_IND	Type of Protection: Meter Box		0	0	0	1
PROTECTION_INGRESS_REGRESS_IND	Type of Protection: Ingress or Regress at a Residence		0	0	0	1
PROTECTION_OTHER_IND	Type of protection: Other	See also PROTECTION_OTHER_DETAIL	0	0	0	1
PROTECTION_OTHER_DETAIL	Text description for PROTECTION_OTHER_IND		0	0	0	1
PWJF_FAILURE_TYPE	Pipe, Weld, or Joint Failure type	See also PWJF_FAILURE_DETAILS	1	1	1	1
PIPE_BODY_SUBTYPE	Pipe, Weld, or Joint Failure: Body of Pipe subtype	See also PIPE_BODY_DETAILS	0	0	1	1
PIPE_BODY_DETAILS	Text description for when PIPE_BODY_SUBTYPE is Other		0	0	1	1
BUTT_WELD_SUBTYPE	Pipe, Weld, or Joint Failure: Butt Weld subtype	See also BUTT_WELD_DETAILS	0	0	1	1
BUTT_WELD_DETAILS	Text description for when BUTT_WELD_SUBTYPE is Other		0	0	1	1
FILLET_WELD_SUBTYPE	Pipe, Weld, or Joint Failure: Fillet Weld subtype	See also FILLET_WELD_DETAILS	0	0	1	1
FILLET_WELD_DETAILS	Text description for when FILLET_WELD_SUBTYPE is Other		0	0	1	1
PIPE_SEAM_SUBTYPE	Pipe, Weld, or Joint Failure: Pipe seam subtype	See also PIPE_SEAM_DETAILS	0	0	1	1
PIPE_SEAM_DETAILS	Text description for when PIPE_SEAM_SUBTYPE is Other		0	0	1	1
MEC_FITTING_INVOLVED	Mechanical Fitting Involved in joint failure	See also MEC_FITTING_INVLVD_DTL	0	0	0	1
MEC_FITTING_INVLVD_DTL	Text description for when MEC_FITTING_INVOLVED is Other		0	0	0	1
MEC_FITTING_TYPE	Pipe, Weld, or Joint Failure: Type of Mechanical Fitting	See also MEC_FTTNG_TYPE_DETAIL	0	0	0	1
MEC_FTTNG_TYPE_DETAIL	Text description for when MEC_FITTING_TYPE is Other		0	0	0	1
MEC_MANUFACTURER	Pipe, Weld, or Joint Failure: Mechanical Fitting Manufacturer		0	0	0	1
MEC_PART_NUMBER	Pipe, Weld, or Joint Failure: Mechanical Fitting Part or Model Number		0	0	0	1
MEC_FITTING_MATERIAL	Pipe, Weld, or Joint Failure: Mechanical Fitting Material	See also MEC_FITTING_MATERIAL_DETAIL	0	0	0	1
MEC_FITTING_MATERIAL_DETAIL	Text description for when MEC_FITTING_MATERIAL is Other		0	0	0	1
MEC_HOW_FAILURE_OCCURED	Pipe, Weld, or Joint Failure: How did the joint failure occur?	See also MEC_HOW_FAILURE_OCCURED_DTL	0	0	0	1
MEC_HOW_FAILURE_OCCURED_DTL	Text description for when MEC_HOW_FAILURE_OCCURED is Other		0	0	0	1
PLASTIC_JOINT_SUBTYPE	Pipe, Weld, or Joint Failure: Fusion Joint subtype	See also PLASTIC_JOINT_DETAILS	0	0	0	1
PLASTIC_JOINT_DETAILS	Text description for when PLASTIC_JOINT_SUBTYPE is Other		0	0	0	1
FPW_INSTALLED_YEAR	Pipe, Weld, or Joint Failure: Fusion Joint year installed		0	0	0	1
FPW_OTHER_ATTR	Pipe, Weld, or Joint Failure: Fusion Joint: Other attributes		0	0	0	1
FPW_FIRST_PLASTIC_TYPE	Pipe, Weld, or Joint Failure: First material being joined	See also FPW_FIRST_PLASTIC_TYPE_OTHER	0	0	0	1
FPW_FIRST_PLASTIC_TYPE_OTHER	Text description for when FPW_FIRST_PLASTIC_TYPE is Other		0	0	0	1
FPW_SECOND_PLASTIC_TYPE	Pipe, Weld, or Joint Failure: Second material being joined	See also FPW_SECOND_PLASTIC_TYPE_OTHER	0	0	0	1
FPW_SECOND_PLASTIC_TYPE_OTHER	Text description for when FPW_SECOND_PLASTIC_TYPE is Other		0	0	0	1
PWJF_FAILURE_DETAILS	Text description for when PWJF_FAILURE_TYPE is Other		1	1	1	1
ADDITIONAL_DENT_IND	Pipe, Weld, or Joint Failure: Additional Factor: Dent		0	0	0	1
ADDITIONAL_GOUGE_IND	Pipe, Weld, or Joint Failure: Additional Factor: Gouge		0	0	0	1
ADDITIONAL_PIPE_BEND_IND	Pipe, Weld, or Joint Failure: Additional Factor: Pipe Bend		0	0	0	1
ADDITIONAL_ARC_BURN_IND	Pipe, Weld, or Joint Failure: Additional Factor: Arc Burn		0	0	0	1
ADDITIONAL_CRACK_IND	Pipe, Weld, or Joint Failure: Additional Factor: Crack		0	0	0	1
ADDITIONAL_LACK_FUSION_IND	Pipe, Weld, or Joint Failure: Additional Factor: Lack of Fusion		0	0	0	1
ADDITIONAL_LAMINATION_IND	Pipe, Weld, or Joint Failure: Additional Factor: Lamination		0	0	0	1
ADDITIONAL_BUCKLE_IND	Pipe, Weld, or Joint Failure: Additional Factor: Buckle		0	0	0	1
ADDITIONAL_WRINKLE_IND	Pipe, Weld, or Joint Failure: Additional Factor: Wrinkle		0	0	0	1
ADDITIONAL_MISALIGNMENT_IND	Pipe, Weld, or Joint Failure: Additional Factor: Misalignment		0	0	0	1
ADDITIONAL_BURNT_STEEL_IND	Pipe, Weld, or Joint Failure: Additional Factor: Burnt Steel		0	0	0	1
ADDITIONAL_OTHER_IND	Pipe, Weld, or Joint Failure: Additional Factor: Other	See also ADDITIONAL_FACTOR_DETAILS	0	0	0	1
ADDITIONAL_FACTOR_DETAILS	Text description for ADDITIONAL_OTHER_IND		0	0	0	1
RESULT_CONSTRUCTION_IND	Pipe, Weld, or Joint Failure: Was the Incident a result of construction defect?	See also RESULT_CONSTRUCTION_SUBTYPE	1	1	1	1
RESULT_MATERIAL_IND	Pipe, Weld, or Joint Failure: Was the Incident a result of material defect?	See also RESULT_MATERIAL_SUBTYPE	1	0	1	1
RESULT_DESIGN_IND	Pipe, Weld, or Joint Failure: Was the Incident a result of design defect		0	0	0	1
RESULT_PREVIOUS_IND	Pipe, Weld, or Joint Failure: Was the Incident a result of previous damage		0	0	0	1
RESULT_CONSTRUCTION_SUBTYPE	Pipe, Weld, or Joint Failure: Type of construction defect		0	1	1	1
RESULT_MATERIAL_SUBTYPE	Pipe, Weld, or Joint Failure: Type of material defect	See also RESULT_MATERIAL_DETAILS	0	0	0	1
RESULT_MATERIAL_DETAILS	Text description for when RESULT_MATERIAL_SUBTYPE is Other		0	0	0	1
PIPE_DAMAGE	Was failure due to pipe damage sustained in transportation to the construction or fabrication site?		0	0	1	0
HYDROTEST_CONDUCTED_IND	Has one or more pressure test been conducted since original construction at the point of the Incident?		0	0	1	1
HYDROTEST_CONDUCTED_YEAR	Year pressure test conducted		0	0	1	1
HYDROTEST_PRESSURE	Test pressure (psig)		0	0	1	1
TEST_TP	Time held at test pressure (hours)		0	0	1	0
TEST_DATE	Date of test (in PRS_TEST)		0	0	1	0
EQ_FAILURE_TYPE	Equipment Failure type	See also EQ_FAILURE_DETAILS	0	0	1	1
CONTROL_VALVE_IND	Malfunction of Control/Relief Equipment: Control Valve		0	0	0	1
INSTRUMENTATION_IND	Malfunction of Control/Relief Equipment: Instrumentation malfunction		0	0	0	1
SCADA_IND	Malfunction of Control/Relief Equipment: SCADA malfunction		0	0	0	1
COMMUNICATIONS_IND	Malfunction of Control/Relief Equipment: Communications malfunction		0	0	0	1
BLOCK_VALVE_IND	Malfunction of Control/Relief Equipment: Block valve malfunction		0	0	0	1
CHECK_VALVE_IND	Malfunction of Control/Relief Equipment: Check valve malfunction		0	0	0	1
RELIEF_VALVE_IND	Malfunction of Control/Relief Equipment: Relief valve malfunction		0	0	0	1
POWER_FAILURE_IND	Malfunction of Control/Relief Equipment: Power failure		0	0	0	1
STOPPLE_CONTROL_FITTING_IND	Malfunction of Control/Relief Equipment: Stopple/control fitting malfunction		0	0	0	1
PRESSURE_REGULATOR_IND	Malfunction of Control/Relief Equipment: Pressure regulator malfunction		0	0	1	1
OTHER_CONTROL_RELIEF_IND	Malfunction of Control/Relief Equipment: Other	See also OTHER_CONTROL_RELIEF_DETAILS	0	0	0	1
MALFUNC_TEXT	Type of Malfunction of Control/Relief Equipment	See also OTHER_CONTROL_RELIEF_DETAILS	0	0	1	0
OTHER_CONTROL_RELIEF_DETAILS	Text description for OTHER_CONTROL_RELIEF_IND		0	0	1	1
OTHER_STRIPPED_IND	Other Threaded Connection Failure	See also OTHER_STRIPPED_DETAILS	0	0	0	1
THREADS_TEXT	Threads Stripped, Broken Pipe Coupling	See also THREADSO	0	0	1	0
THREADSO	Text description for when THREADS_TEXT is Other		0	0	1	0
OTHER_STRIPPED_DETAILS	Text description for OTHER_STRIPPED_IND		0	0	0	1
OTHER_NON_THREADED_IND	Other Non-threaded Connection Failure	See also OTHER_NON_THREADED_DETAILS	0	0	0	1
OTHER_NON_THREADED_DETAILS	Text description for OTHER_NON_THREADED_IND		0	0	0	1
VALVE_OTHER_IND	Other valve defect	See also VALVE_OTHER_DETAILS	0	0	0	1
VALVE_OTHER_DETAILS	Text description for VALVE_OTHER_IND		0	0	0	1
VALVE_TYPE	Other valve defect: Valve type		0	0	0	1
EQ_MANUFACTURER	Other valve defect: Valve Manufactured by		0	0	0	1
EQ_MANUFACTURE_YEAR	Other valve defect: Year valve manufactured		0	0	0	1
VALVE_MATERIAL	Other valve defect: Valve Material	See also VALVE_MATERIAL_DETAILS	0	0	0	1
VALVE_MATERIAL_DETAILS	Text description for when VALVE_MATERIAL is Other		0	0	0	1
EQ_FAILURE_DETAILS	Text description for when EQ_FAILURE_TYPE is Other		0	0	0	1
OPERATION_TYPE	Incorrect Operation type	See also OPERATION_DETAILS	0	0	0	1
IO_TYPE_TEXT	Incorrect Operation type (2004-2009)		0	0	1	0
OPERATION_DETAILS	Text description for when OPERATION_TYPE is Other		0	0	0	1
RELATED_INADEQUATE_PROC_IND	Incorrect Operation: Inadequate procedure		0	0	1	1
RELATED_NO_PROC_IND	Incorrect Operation: No procedure established		0	0	0	1
RELATED_FAILURE_FOLLOW_IND	Incorrect Operation: Failure to follow procedure		0	0	1	1
RELATED_OTHER_IND	Incorrect Operation: Other	See also OPERATION_RELATED_DETAILS	0	0	0	1
IO_DRUG	Number of employees involved in incident who failed post-incident drug test		0	0	1	0
IO_ALCO	Number of employees involved in incident who failed post-incident Alcohol test		0	0	1	0
IO_QUAL	Was person involved in incident qualified per OQ rule?		0	0	1	0
IO_QUAL_HRS	Hours on duty for person involved		0	0	1	0
OPERATION_RELATED_DETAILS	Text description for RELATED_OTHER_IND		0	0	1	1
CATEGORY_TYPE	What category type was the activity that caused the Incident?		0	0	0	1
OPERATOR_QUALIFICATION_IND	Was the task(s) that led to the Incident identified as a covered task in your Operator Qualification Program?		0	0	0	1
QUALIFIED_INDIVIDUALS	If OPERATOR_QUALIFICATION_IND is Yes, were the individuals performing the task(s) qualified for the task(s)	See also OPERATOR_QUALIFICATION_IND	0	0	0	1
OTHER_TYPE	Other Incident Cause		0	0	0	1
MISC_DETAILS	Miscellaneous Incident Cause details		0	0	1	1
UNKNOWN_SUBTYPE	Unknown incident cause	See also INCIDENT_UNKNOWN_COMMENTS	0	0	1	1
INCIDENT_UNKNOWN_COMMENTS	Text description for when UNKNOWN_SUBTYPE is Investigation Complete		0	0	0	1
EXTRNL_COR_GALVANIC_IND	Contributing Factors: External Corrosion: Galvanic		0	0	0	1
EXTRNL_COR_ATMOSPHERIC_IND	Contributing Factors: External Corrosion: Atmospheric		0	0	0	1
EXTRNL_COR_STRAY_CURRENT_IND	Contributing Factors: External Corrosion: Stray Current Induced		0	0	0	1
EXTRNL_COR_MICROBIOLOGIC_IND	Contributing Factors: External Corrosion: Microbiologically Induced		0	0	0	1
EXTRNL_COR_SELECTIVE_SEAM_IND	Contributing Factors: External Corrosion: Selective Seam		0	0	0	1
INTRNL_COR_CORROSIVE_CMDTY_IND	Contributing Factors: Internal Corrosion: Corrosive Commodity		0	0	0	1
INTRNL_COR_WTR_DRPOUT_ACID_IND	Contributing Factors: Internal Corrosion: Water drop-out/Acid		0	0	0	1
INTRNL_COR_MICROBIOLOGIC_IND	Contributing Factors: Internal Corrosion: Microbiological		0	0	0	1
INTRNL_COR_EROSION_IND	Contributing Factors: Internal Corrosion: Erosion		0	0	0	1
NF_EARTH_MOVEMENT_IND	Contributing Factors: Natural forces: Earth Movement, NOT due to Heavy Rains/Floods		0	0	0	1
NF_HEAVY_RAINS_IND	Contributing Factors: Natural forces: Heavy Rains/Floods		0	0	0	1
NF_LIGHTNING_IND	Contributing Factors: Natural forces: Lightning		0	0	0	1
NF_TEMPERATURE_IND	Contributing Factors: Natural forces: Temperature		0	0	0	1
NF_HIGH_WINDS_IND	Contributing Factors: Natural forces: High Winds		0	0	0	1
NF_SNOW_ICE_IND	Contributing Factors: Natural forces: Snow/Ice		0	0	0	1
NF_VEGITATION_ROOT_IND	Contributing Factors: Natural forces: Tree/Vegetation Root		0	0	0	1
EXCVTN_DMG_OPERATOR_IND	Contributing Factors: Excavation Damage by Operator (First Party)		0	0	0	1
EXCVTN_DMG_OP_CONTRACTOR_IND	Contributing Factors: Excavation Damage by Operator’s Contractor (Second Party)		0	0	0	1
EXCVTN_DMG_THIRD_PARTY_IND	Contributing Factors: Excavation Damage by Third Party		0	0	0	1
EXCVTN_DMG_PREVIOUS_DAMAGE_IND	Contributing Factors: Excavation Damage: Previous Damage due to Excavation Activity		0	0	0	1
OSF_NEARBY_INDUSTRIAL_IND	Contributing Factors: Other Outside Force: Other Outside Force, Nearby Industrial, Man-made, or Other Fire/Explosion		0	0	0	1
OSF_VEHICLE_IND	Contributing Factors: Other Outside Force: Damage by Car, Truck, or Other Motorized Vehicle/Equipment NOT Engaged in Excavation		0	0	0	1
OSF_BOAT_IND	Contributing Factors: Other Outside Force: Damage by Boats, Barges, Drilling Rigs, or Other Adrift Maritime Equipment		0	0	0	1
OSF_OTHER_MARITIME_IND	Contributing Factors: Other Outside Force: Routine or Normal Fishing or Other Maritime Activity NOT Engaged in Excavation		0	0	0	1
OSF_ELECTRICAL_ARCING_IND	Contributing Factors: Other Outside Force: Electrical Arcing from Other Equipment or Facility		0	0	0	1
OSF_PREVIOUS_MECHANICAL_IND	Contributing Factors: Other Outside Force: Previous Mechanical Damage NOT Related to Excavation		0	0	0	1
OSF_INTENTIONAL_IND	Contributing Factors: Other Outside Force: Intentional Damage		0	0	0	1
OSF_OTHER_UNDERGROUND_IND	Contributing Factors: Other Outside Force: Other underground facilities buried within 12 inches of the failure location		0	0	0	1
PWF_DESIGN_IND	Contributing Factors: Pipe/Weld Failure: Design-related Pipe/Weld Failure		0	0	0	1
